Year,Name,Number,Rank
1980,JACOB,34,113
1980,JAY,34,113
1980,RANDY,34,113
1980,TERRY,33,116
1980,TYSON,33,116
1980,BYRON,32,118
1980,WARREN,31,119
1980,ADRIAN,30,120
1980,BRENDAN,30,120
1980,KENT,29,122
1980,KIRK,29,122
1980,MATHEW,29,122
1980,CHRISTIAN,28,125
1980,DWAYNE,28,125
1980,MARTIN,28,125
1980,ASHLEY,27,128
1980,BRYCE,27,128
1980,CALVIN,26,130
1980,DYLAN,26,130
1980,EVAN,26,130
1980,SAMUEL,26,130
1980,VINCENT,26,130
1980,BLAINE,25,135
1980,DUANE,24,136
1980,LANCE,24,136
1980,LEVI,24,136
1980,LUKE,24,136
1980,ERIK,23,140
1980,JOEY,23,140
1980,LAWRENCE,23,140
1980,LESLIE,23,140
1980,RODNEY,23,140
1980,RORY,23,140
1980,CASEY,22,146
1980,SIMON,22,146
1980,CARL,21,148
1980,DEVON,21,148
1980,JONATHON,21,148
1980,LUCAS,21,148
1980,PHILLIP,21,148
1980,STUART,21,148
1980,BRUCE,20,154
1980,DANNY,20,154
1980,GERALD,20,154
1980,GLEN,20,154
1980,NATHANIEL,20,154
1980,TERENCE,20,154
1980,ALBERT,19,160
1980,ALLEN,19,160
1980,JEREMIAH,19,160
1980,MURRAY,19,160
1980,ROGER,19,160
1980,WADE,19,160
1980,DERRICK,18,166
1980,GARRETT,18,166
1980,GAVIN,18,166
1980,KARL,18,166
1980,ANDRE,17,170
1980,ARTHUR,17,170
1980,KORY,17,170
1980,KURT,17,170
1980,ROSS,17,170
1980,VICTOR,17,170
1980,ZACHARY,17,170
1980,BEAU,16,177
1980,BLAKE,16,177
1980,DANA,16,177
1980,DARRELL,16,177
1980,DARYL,16,177
1980,TONY,16,177
1980,TRENT,16,177
1980,BRAD,15,184
1980,CHRIS,15,184
1980,CLIFFORD,15,184
1980,DEVIN,15,184
1980,FRANK,15,184
1980,LYLE,15,184
1980,MORGAN,15,184
1980,NOLAN,15,184
1980,NORMAN,15,184
1980,SHAYNE,15,184
1980,BOBBY,14,194
1980,CLINT,14,194
1980,FREDERICK,14,194
1980,ISAAC,14,194
1980,JARROD,14,194
1980,JODY,14,194
1980,LANDON,14,194
1980,STEVE,14,194
1980,CONRAD,13,202
1980,DREW,13,202
1980,JESSIE,13,202
1980,LARRY,13,202
1980,MARCEL,13,202
1980,OWEN,13,202
1980,SETH,13,202
1980,SPENCER,13,202
1980,STANLEY,13,202
1980,TANNER,13,202
1980,BERNARD,12,212
1980,HENRY,12,212
1980,LORNE,12,212
1980,NEAL,12,212
1980,QUENTIN,12,212
1980,TAYLOR,12,212
1980,TERRANCE,12,212
1980,VERNON,12,212
1980,BRENDON,11,220
1980,BROCK,11,220
1980,COLLIN,11,220
1980,DUNCAN,11,220
1980,GARTH,11,220
1980,GRAEME,11,220
1980,JEAN,11,220
1980,LOGAN,11,220
1980,NICKOLAS,11,220
1980,RANDALL,11,220
1980,RILEY,11,220
1980,RODERICK,11,220
1980,ANDY,10,232
1980,BILLY,10,232
1980,COURTNEY,10,232
1980,DENIS,10,232
1980,FRASER,10,232
1980,GABRIEL,10,232
1980,HOWARD,10,232
1980,JAYSON,10,232
1980,JIMMY,10,232
1980,JOHNATHAN,10,232
1980,KELSEY,10,232
1980,KENNY,10,232
1980,KERRY,10,232
1980,KRISTIAN,10,232
1980,LOUIS,10,232
1980,MATHIEU,10,232
1980,STEFAN,10,232
1980,TERRENCE,10,232
1980,BRADLY,9,250
1980,CONNOR,9,250
1980,DION,9,250
1980,EUGENE,9,250
1980,GARETT,9,250
1980,GARRY,9,250
1980,GREG,9,250
1980,GUY,9,250
1980,HARLEY,9,250
1980,HUSSEIN,9,250
1980,IVAN,9,250
1980,JACKSON,9,250
1980,JORDON,9,250
1980,KIM,9,250
1980,KIRBY,9,250
1980,LEO,9,250
1980,LEONARD,9,250
1980,MOHAMED,9,250
1980,NELSON,9,250
1980,RICARDO,9,250
1980,RICKY,9,250
1980,ROY,9,250
1980,WALTER,9,250
1980,ALI,8,273
1980,ANTONIO,8,273
1980,BEN,8,273
1980,CALEB,8,273
1980,DAMIEN,8,273
1980,DARIN,8,273
1980,DAVIN,8,273
1980,DON,8,273
1980,DUSTY,8,273
1980,EDWIN,8,273
1980,ELIJAH,8,273
1980,FRANCIS,8,273
1980,JERRY,8,273
1980,KELVIN,8,273
1980,KENTON,8,273
1980,LANE,8,273
1980,LIAM,8,273
1980,MARCUS,8,273
1980,OLIVER,8,273
1980,PRESTON,8,273
1980,TRENTON,8,273
1980,TRISTAN,8,273
1980,WYATT,8,273
1980,BRADY,7,296
1980,COLBY,7,296
1980,DESMOND,7,296
1980,DWIGHT,7,296
1980,GILBERT,7,296
1980,GLENN,7,296
1980,JACK,7,296
1980,JAN,7,296
1980,JARRETT,7,296
1980,JON,7,296
1980,JULIEN,7,296
1980,KRIS,7,296
1980,KRISTOFER,7,296
1980,LLOYD,7,296
1980,MACKENZIE,7,296
1980,MALCOLM,7,296
1980,MARIO,7,296
1980,MICHEL,7,296
1980,MOHAMMAD,7,296
1980,REGAN,7,296
1980,REUBEN,7,296
1980,ROBBIE,7,296
1980,SHANNON,7,296
1980,STACEY,7,296
1980,THEODORE,7,296
1980,TYRONE,7,296
1980,ADRIEN,6,322
1980,ALAIN,6,322
1980,ALIM,6,322
1980,ALVIN,6,322
1980,ANGUS,6,322
1980,BRADEN,6,322
1980,CARLOS,6,322
1980,CHADWICK,6,322
1980,CONOR,6,322
1980,DARRIN,6,322
1980,DONOVAN,6,322
1980,ELI,6,322
1980,GALEN,6,322
1980,GERARD,6,322
1980,GILLES,6,322
1980,GREGG,6,322
1980,JARRED,6,322
1980,JOHN-PAUL,6,322
1980,JONAH,6,322
1980,LEON,6,322
1980,LOREN,6,322
1980,LYNDON,6,322
1980,MARCO,6,322
1980,MARVIN,6,322
1980,MITCHEL,6,322
1980,NIGEL,6,322
1980,NOEL,6,322
1980,PHILIPPE,6,322
1980,RANDOLPH,6,322
1980,REID,6,322
1980,RON,6,322
1980,SIDNEY,6,322
1980,STEWART,6,322
1980,TOMMY,6,322
1980,TYLOR,6,322
1980,TYREL,6,322
1980,VANCE,6,322
1980,AHMED,5,359
1980,AUSTIN,5,359
1980,BOYD,5,359
1980,BRANT,5,359
1980,CHEYENNE,5,359
1980,CLARK,5,359
1980,CODEY,5,359
1980,COLE,5,359
1980,DAMON,5,359
1980,DOMINIC,5,359
1980,ELLIOTT,5,359
1980,ERNEST,5,359
1980,GIUSEPPE,5,359
1980,HAROLD,5,359
1980,HARVEY,5,359
1980,HERMAN,5,359
1980,IMRAN,5,359
1980,JADE,5,359
1980,JARET,5,359
1980,JASEN,5,359
1980,JEFFEREY,5,359
1980,JOHNATHON,5,359
1980,JONAS,5,359
1980,KEEGAN,5,359
1980,KENDALL,5,359
1980,LAYNE,5,359
1980,LELAND,5,359
1980,LINDSAY,5,359
1980,LIONEL,5,359
1980,LUC,5,359
1980,LUKAS,5,359
1980,MARSHALL,5,359
1980,MASON,5,359
1980,MIKE,5,359
1980,MILES,5,359
1980,MONTY,5,359
1980,MYLES,5,359
1980,NICOLAS,5,359
1980,PERRY,5,359
1980,QUINTON,5,359
1980,RANDAL,5,359
1980,RAY,5,359
1980,RENE,5,359
1980,RHYS,5,359
1980,SONNY,5,359
1980,STACY,5,359
1980,TOBIAS,5,359
1980,WAYLON,5,359
1980,AHMAD,4,407
1980,ALFRED,4,407
1980,AMANDEEP,4,407
1980,ARIF,4,407
1980,ARNOLD,4,407
1980,BRENDEN,4,407
1980,CALLUM,4,407
1980,CHANCE,4,407
1980,CLARENCE,4,407
1980,DARREL,4,407
1980,DEXTER,4,407
1980,DIETER,4,407
1980,DILLON,4,407
1980,DONNY,4,407
1980,DORIAN,4,407
1980,EDGAR,4,407
1980,ELDON,4,407
1980,ELIAS,4,407
1980,ERVIN,4,407
1980,EVERETT,4,407
1980,FELIX,4,407
1980,FRANCOIS,4,407
1980,GARNET,4,407
1980,HARPREET,4,407
1980,HARRY,4,407
1980,HASSAN,4,407
1980,HEATH,4,407
1980,JAIME,4,407
1980,JAKE,4,407
1980,JAROD,4,407
1980,JEFF,4,407
1980,JENS,4,407
1980,JEROME,4,407
1980,JOESPH,4,407
1980,JORDIE,4,407
1980,JOSE,4,407
1980,KAI,4,407
1980,KEN,4,407
1980,KRISTOFFER,4,407
1980,LEIGH,4,407
1980,LENNY,4,407
1980,MARTY,4,407
1980,MAX,4,407
1980,MOHAMAD,4,407
1980,MOHAMMED,4,407
1980,OMAR,4,407
1980,PERCY,4,407
1980,QUINN,4,407
1980,RAHIM,4,407
1980,RAVINDER,4,407
1980,REED,4,407
1980,ROBBY,4,407
1980,ROBERTO,4,407
1980,ROBYN,4,407
1980,ROCKY,4,407
1980,RODGER,4,407
1980,RYLEY,4,407
1980,SAMIR,4,407
1980,SHERMAN,4,407
1980,TAREK,4,407
1980,TREVER,4,407
1980,WESTON,4,407
1980,ACE,3,469
1980,ALEX,3,469
1980,ALISTAIR,3,469
1980,AMAN,3,469
1980,AMIT,3,469
1980,ANIL,3,469
1980,ANTON,3,469
1980,AYMAN,3,469
1980,BENSON,3,469
1980,BJORN,3,469
1980,BRENNAN,3,469
1980,BRET,3,469
1980,BROOKE,3,469
1980,BURKE,3,469
1980,BURTON,3,469
1980,CAREY,3,469
1980,CARSON,3,469
1980,CARY,3,469
1980,CHE,3,469
1980,CHESTER,3,469
1980,CORDELL,3,469
1980,CRISTOPHER,3,469
1980,DALTON,3,469
1980,DARIUS,3,469
1980,DERECK,3,469
1980,DERICK,3,469
1980,DOMENICO,3,469
1980,DRAPER,3,469
1980,EDMUND,3,469
1980,EMMANUEL,3,469
1980,ERROL,3,469
1980,ETHAN,3,469
1980,FABIAN,3,469
1980,FARON,3,469
1980,FREDRICK,3,469
1980,GAETAN,3,469
1980,GARETH,3,469
1980,GARRET,3,469
1980,GEOFFERY,3,469
1980,GIOVANNI,3,469
1980,GRAYSON,3,469
1980,GREGGORY,3,469
1980,HAYDEN,3,469
1980,HUGH,3,469
1980,JAGDEEP,3,469
1980,JAMIESON,3,469
1980,JARETT,3,469
1980,JARON,3,469
1980,JARRAD,3,469
1980,JARRET,3,469
1980,JAYME,3,469
1980,JEAN-PAUL,3,469
1980,JEFFRY,3,469
1980,JERAD,3,469
1980,JEREMEY,3,469
1980,JERMAINE,3,469
1980,JERRAD,3,469
1980,JERRETT,3,469
1980,JESS,3,469
1980,JOHNNY,3,469
1980,JORDY,3,469
1980,JUAN,3,469
1980,JULIAN,3,469
1980,KHALED,3,469
1980,KIERAN,3,469
1980,KRISTEN,3,469
1980,KRISTJAN,3,469
1980,KRISTOFOR,3,469
1980,KYLIE,3,469
1980,LANNY,3,469
1980,LARS,3,469
1980,LINDSEY,3,469
1980,LONG,3,469
1980,LONNIE,3,469
1980,LONNY,3,469
1980,MARKO,3,469
1980,MARLIN,3,469
1980,MAURICE,3,469
1980,MAURY,3,469
1980,MAXWELL,3,469
1980,MERLE,3,469
1980,MIKHAEL,3,469
1980,MILAN,3,469
1980,NIALL,3,469
1980,NICK,3,469
1980,NIKOLAS,3,469
1980,NOAH,3,469
1980,OSCAR,3,469
1980,PASQUALE,3,469
1980,QUANG,3,469
1980,RALPH,3,469
1980,RAMON,3,469
1980,REAL,3,469
1980,REGINALD,3,469
1980,ROLAND,3,469
1980,RONNY,3,469
1980,SCOT,3,469
1980,SEBASTIAN,3,469
1980,STEPHAN,3,469
1980,STERLING,3,469
1980,SYLVAIN,3,469
1980,TED,3,469
1980,TEX,3,469
1980,TOD,3,469
1980,TOMAS,3,469
1980,TY,3,469
1980,TYRELL,3,469
1980,WALLACE,3,469
1980,WINSTON,3,469
1980,ZIAD,3,469
1980,ALARIC,2,579
1980,ALEKSANDAR,2,579
1980,ALEXANDRE,2,579
1980,ALEXIS,2,579
1980,AMARDEEP,2,579
1980,ANGELO,2,579
1980,ANSON,2,579
1980,ARIC,2,579
1980,ARLEN,2,579
1980,ARLO,2,579
1980,ARMIN,2,579
1980,ARON,2,579
1980,ARVIND,2,579
1980,ASAD,2,579
1980,AUBREY,2,579
1980,AXEL,2,579
1980,AYAZ,2,579
1980,BALRAJ,2,579
1980,BARRETT,2,579
1980,BARRIE,2,579
1980,BART,2,579
1980,BENTON,2,579
1980,BERNHARD,2,579
1980,BILAL,2,579
1980,BILL,2,579
1980,BILLY-JOE,2,579
1980,BLAYNE,2,579
1980,BLUE,2,579
1980,BO,2,579
1980,BRADFORD,2,579
1980,BRANDAN,2,579
1980,BRANDEN,2,579
1980,BRAYTON,2,579
1980,BRODIE,2,579
1980,BRODY,2,579
1980,BRUNO,2,579
1980,BRYANT,2,579
1980,BRYN,2,579
1980,BRYON,2,579
1980,BUCKLEY,2,579
1980,BUDDY,2,579
1980,CALEY,2,579
1980,CARLO,2,579
1980,CARLTON,2,579
1980,CARMEN,2,579
1980,CASSIUS,2,579
1980,CECIL,2,579
1980,CHASE,2,579
1980,CHEVY,2,579
1980,CHRISTOPHER-JOHN,2,579
1980,CLAUDE,2,579
1980,CLAY,2,579
1980,CONAN,2,579
1980,CORDEL,2,579
1980,COTY,2,579
1980,CURT,2,579
1980,DALEN,2,579
1980,DALLAN,2,579
1980,DAMIAN,2,579
1980,DANIELE,2,579
1980,DANNIEL,2,579
1980,DANYAL,2,579
1980,DAREK,2,579
1980,DARIAN,2,579
1980,DARWIN,2,579
1980,DARYN,2,579
1980,DAVE,2,579
1980,DAWSON,2,579
1980,DAYTON,2,579
1980,DELBERT,2,579
1980,DELMER,2,579
1980,DENNY,2,579
1980,DEVAN,2,579
1980,DEVRON,2,579
1980,DILLIN,2,579
1980,DIMITRIOS,2,579
1980,DOLAN,2,579
1980,DONAVAN,2,579
1980,DORAN,2,579
1980,DRAGAN,2,579
1980,EAN,2,579
1980,EDMOND,2,579
1980,ELDEN,2,579
1980,EMILE,2,579
1980,ERICH,2,579
1980,ERICK,2,579
1980,EZEKIEL,2,579
1980,FABIEN,2,579
1980,FAYAZ,2,579
1980,FERLIN,2,579
1980,FERNANDO,2,579
1980,FORREST,2,579
1980,FOSTER,2,579
1980,FRANCESCO,2,579
1980,FRANCO,2,579
1980,FRANKLIN,2,579
1980,FRED,2,579
1980,GAUTAM,2,579
1980,GERAD,2,579
1980,GERRIT,2,579
1980,GIANNI,2,579
1980,GIDEON,2,579
1980,GRAYDON,2,579
1980,GREGORIO,2,579
1980,HANS,2,579
1980,HARDY,2,579
1980,HARRISON,2,579
1980,HEINRICH,2,579
1980,HENDRIK,2,579
1980,HERBERT,2,579
1980,HORACE,2,579
1980,HUDSON,2,579
1980,HUGO,2,579
1980,IRA,2,579
1980,IRFAN,2,579
1980,IRVIN,2,579
1980,IVOR,2,579
1980,J.,2,579
1980,JACKY,2,579
1980,JADEN,2,579
1980,JAMAL,2,579
1980,JAMEY,2,579
1980,JAROSLAW,2,579
1980,JARRID,2,579
1980,JARVIS,2,579
1980,JAVIER,2,579
1980,JAYMIE,2,579
1980,JEDEDIAH,2,579
1980,JENSON,2,579
1980,JERALD,2,579
1980,JEROMY,2,579
1980,JERRID,2,579
1980,JEVON,2,579
1980,JOHANNES,2,579
1980,JORDEN,2,579
1980,JOSH,2,579
1980,JOVAN,2,579
1980,JOZSEF,2,579
1980,JULES,2,579
1980,JUNIOR,2,579
1980,KALE,2,579
1980,KALVIN,2,579
1980,KAMERON,2,579
1980,KARI,2,579
1980,KARIM,2,579
1980,KEENAN,2,579
1980,KEVAN,2,579
1980,KHALIL,2,579
1980,KODY,2,579
1980,KONSTANTINE,2,579
1980,KOREY,2,579
1980,KOSMAS,2,579
1980,LANGE,2,579
1980,LAURENCE,2,579
1980,LEIGHTON,2,579
1980,LENARD,2,579
1980,LEROY,2,579
1980,LESLEY,2,579
1980,LESTER,2,579
1980,LEVON,2,579
1980,LOUIE,2,579
1980,LUCA,2,579
1980,LUIGI,2,579
1980,LUIS,2,579
1980,LYNDEN,2,579
1980,MAKOTO,2,579
1980,MANOJ,2,579
1980,MANUEL,2,579
1980,MARCELO,2,579
1980,MARLON,2,579
1980,MARSHAL,2,579
1980,MATT,2,579
1980,MERLIN,2,579
1980,MICAH,2,579
1980,MICHAEL-JOHN,2,579
1980,MIGUEL,2,579
1980,MINH,2,579
1980,MITCH,2,579
1980,MONTGOMERY,2,579
1980,MORRIS,2,579
1980,MOSHE,2,579
1980,MOUHAMED,2,579
1980,NABIL,2,579
1980,NAJEB,2,579
1980,NAM,2,579
1980,NATHANIAL,2,579
1980,NELS,2,579
1980,NEWTON,2,579
1980,OLIVIER,2,579
1980,OMER,2,579
1980,ORION,2,579
1980,OTIS,2,579
1980,PAOLO,2,579
1980,PARMVIR,2,579
1980,PEDRO,2,579
1980,PIERRE,2,579
1980,QUINCY,2,579
1980,RAJEEV,2,579
1980,REESE,2,579
1980,REMI,2,579
1980,REX,2,579
1980,RHETT,2,579
1980,RICK,2,579
1980,RIEL,2,579
1980,RISHI,2,579
1980,RITCHIE,2,579
1980,RODRIGO,2,579
1980,ROLANDO,2,579
1980,ROMAN,2,579
1980,RONEEL,2,579
1980,RONNIE,2,579
1980,ROWAN,2,579
1980,ROYCE,2,579
1980,RUBAN,2,579
1980,RUBEN,2,579
1980,RUEBEN,2,579
1980,RUSSEL,2,579
1980,RYLAN,2,579
1980,SACHA,2,579
1980,SALAH,2,579
1980,SALVATORE,2,579
1980,SAM,2,579
1980,SAMSON,2,579
1980,SANDEEP,2,579
1980,SARMAD,2,579
1980,SCOTTY,2,579
1980,SEAMUS,2,579
1980,SEBASTIEN,2,579
1980,SHAIN,2,579
1980,SHEA,2,579
1980,SILAS,2,579
1980,SIMEON,2,579
1980,STEFANO,2,579
1980,STEPHANE,2,579
1980,STIRLING,2,579
1980,TAIT,2,579
1980,TARAS,2,579
1980,TARIQ,2,579
1980,THEODOR,2,579
1980,TIM,2,579
1980,TIMMY,2,579
1980,TOM,2,579
1980,TOMISLAV,2,579
1980,VAUGHN,2,579
1980,VIJAY,2,579
1980,VINCENZO,2,579
1980,WALLY,2,579
1980,WENDELL,2,579
1980,WESAM,2,579
1980,WILFRED,2,579
1980,WILL,2,579
1980,YOUSSEF,2,579
1980,YVON,2,579
1980,ZACHARIAH,2,579
1980,ZAHER,2,579
1980,ZANE,2,579
1980,AAREN,1,835
1980,AARONN,1,835
1980,AARRON-DAVID,1,835
1980,ABBAS,1,835
1980,ABDELKARIM,1,835
1980,ABDO,1,835
1980,ABDULRAHMAN,1,835
1980,ABID,1,835
1980,ABRAHAM,1,835
1980,ABRAM,1,835
1980,ADAMO,1,835
1980,ADEDAYO,1,835
1980,ADEEB,1,835
1980,ADEEL,1,835
1980,ADESH,1,835
1980,ADOLPHUS,1,835
1980,ADON,1,835
1980,ADRIAAN,1,835
1980,ADRIANO,1,835
1980,ADRIS,1,835
1980,ADRIYEL,1,835
1980,AEDAN,1,835
1980,AIDAN,1,835
1980,AIDEN,1,835
1980,AIRION,1,835
1980,AJAY,1,835
1980,AJIT,1,835
1980,AJMAL,1,835
1980,ALAA,1,835
1980,ALASDAIR,1,835
1980,ALDEN,1,835
1980,ALDO,1,835
1980,ALDON,1,835
1980,ALEC,1,835
1980,ALEEF,1,835
1980,ALEEM,1,835
1980,ALEXANDRE-MATHIEU-JEAN-PAUL,1,835
1980,ALEXANDROS,1,835
1980,ALEXI,1,835
1980,ALFIE,1,835
1980,ALLYN,1,835
1980,ALMIN,1,835
1980,ALPHONS,1,835
1980,ALPHONSE,1,835
1980,ALSON,1,835
1980,ALSTON,1,835
1980,ALWIN,1,835
1980,ALY,1,835
1980,ALYKHAN,1,835
1980,ALYM,1,835
1980,AMAR,1,835
1980,AMARPAL,1,835
1980,AMER,1,835
1980,AMISH,1,835
1980,AMRIK,1,835
1980,ANAND,1,835
1980,ANANT,1,835
1980,ANAS,1,835
1980,ANASS,1,835
1980,ANDERSON,1,835
1980,ANDRÉ,1,835
1980,ANDREA,1,835
1980,ANDREAS,1,835
1980,ANDREE,1,835
1980,ANDRZEJ,1,835
1980,ANDY-SAMUEL,1,835
1980,ANIQ,1,835
1980,ANKUSH,1,835
1980,ANTHEM,1,835
1980,ANTONIO-JOSE,1,835
1980,ANTONIOS,1,835
1980,ANTONIUS,1,835
1980,ANTONY,1,835
1980,ANTWIN,1,835
1980,ANUFRII,1,835
1980,ARA,1,835
1980,ARCHIE,1,835
1980,AREN,1,835
1980,ARIEL,1,835
1980,ARJAY,1,835
1980,ARJUN,1,835
1980,ARLIE,1,835
1980,ARLYN,1,835
1980,ARMOND,1,835
1980,ARNELL,1,835
1980,A'RON,1,835
1980,ART,1,835
1980,ARTHER,1,835
1980,ARVIN,1,835
1980,ASAAD,1,835
1980,ASAM,1,835
1980,ASHIQ,1,835
1980,ASHTON,1,835
1980,ASHUR,1,835
1980,ASHVIN,1,835
1980,ASLAM,1,835
1980,ATESH,1,835
1980,ATIT,1,835
1980,AUGUSTE,1,835
1980,AUGUSTUS,1,835
1980,AUMIR,1,835
1980,AVERY,1,835
1980,AVIDAN,1,835
1980,AVNISH,1,835
1980,AZEEZ,1,835
1980,BADRE,1,835
1980,BANJI,1,835
1980,BANNING,1,835
1980,BAO,1,835
1980,BARON,1,835
1980,BARRET,1,835
1980,BARTLEY,1,835
1980,BARTON,1,835
1980,BASEL,1,835
1980,BASSIM,1,835
1980,BA-TRI,1,835
1980,BEAUFORT,1,835
1980,BEJAY,1,835
1980,BELAL,1,835
1980,BELLAMY,1,835
1980,BENEDICT,1,835
1980,BENJARMIN,1,835
1980,BENJI,1,835
1980,BENJIMAN,1,835
1980,BENNETT,1,835
1980,BENOIT,1,835
1980,BERCHAM,1,835
1980,BERNHART,1,835
1980,BERNIE,1,835
1980,BERT,1,835
1980,BERTRUN,1,835
1980,BHAVANDEEP,1,835
1980,BHUPINDER,1,835
1980,BIAGIO,1,835
1980,BIJHAN,1,835
1980,BIKRAMJIT,1,835
1980,BILLY-JOEL,1,835
1980,BISSAM,1,835
1980,BLAIN,1,835
1980,BLAYDON,1,835
1980,BLEU,1,835
1980,BOB,1,835
1980,BOBAK,1,835
1980,BOBBIE,1,835
1980,BOBBY-RAY,1,835
1980,BOCEPHUS,1,835
1980,BODAN,1,835
1980,BODEY,1,835
1980,BOE,1,835
1980,BO-JAMES,1,835
1980,BORDEN,1,835
1980,BOREK,1,835
1980,BORIS,1,835
1980,BOWEN,1,835
1980,BOYCE,1,835
1980,BRADELY,1,835
1980,BRADEY,1,835
1980,BRAEDEN,1,835
1980,BRAEDY,1,835
1980,BRANDIN,1,835
1980,BRANDT,1,835
1980,BRANHT,1,835
1980,BRANKO,1,835
1980,BRAYDON,1,835
1980,BREN,1,835
1980,BRENDYN,1,835
1980,BRENNEN,1,835
1980,BRENNON,1,835
1980,BRENON,1,835
1980,BRICIN,1,835
1980,BRIGHAM,1,835
1980,BRIJ,1,835
1980,BROC,1,835
1980,BRYDON,1,835
1980,BRYSON,1,835
1980,BUCK,1,835
1980,BUCKY,1,835
1980,BURGIE,1,835
1980,BURKELEY,1,835
1980,BURLINGTON,1,835
1980,BURT,1,835
1980,BYRAN,1,835
1980,C.,1,835
1980,CAELAH,1,835
1980,CAILEN,1,835
1980,CAL,1,835
1980,CALE,1,835
1980,CALEM,1,835
1980,CALUM,1,835
1980,CALVERT,1,835
1980,CAMIL,1,835
1980,CAMRON,1,835
1980,CANBERK,1,835
1980,CANSON,1,835
1980,CARLEN,1,835
1980,CARLIN,1,835
1980,CARLO-POLIDORO,1,835
1980,CARLYLE,1,835
1980,CARMINE,1,835
1980,CASON,1,835
1980,CASSIDY,1,835
1980,CAVIN,1,835
1980,CAYLEY,1,835
1980,CHAALAN,1,835
1980,CHADBURN,1,835
1980,CHADWELL,1,835
1980,CHAIM,1,835
1980,CHAKKO,1,835
1980,CHANCY,1,835
1980,CHANDANA,1,835
1980,CHANNING,1,835
1980,CHARLETON,1,835
1980,CHARLIE,1,835
1980,CHASTAIN,1,835
1980,CHEL,1,835
1980,CHEN,1,835
1980,CHEONG,1,835
1980,CHEYNEY,1,835
1980,CHI,1,835
1980,CHI-LOUIS,1,835
1980,CHI-YAN,1,835
1980,CHOO-KIEN,1,835
1980,CHRISTIAAN,1,835
1980,CHRISTIEN,1,835
1980,CHRISTINA,1,835
1980,CHRISTIPHER,1,835
1980,CHRISTODOULOS,1,835
1980,CHRISTON,1,835
1980,CHRISTOPER,1,835
1980,CHRISTOPHER-BLAKE,1,835
1980,CHRISTOPHER-GUENTHER-DANIEL,1,835
1980,CHRISTOPHER-JOZEF,1,835
1980,CHUCK,1,835
1980,CHUCKIE,1,835
1980,CLANCEY,1,835
1980,CLARKE,1,835
1980,CLAUDIO,1,835
1980,CLEAVON,1,835
1980,CLEMENT,1,835
1980,CLETUS,1,835
1980,CLIFF,1,835
1980,CLIFFTON,1,835
